ENSG00000160808	MYL3
ENSG00000143164	DCAF6
ENSG00000104889	RNASEH2A
ENSG00000138449	SLC40A1
ENSG00000223764	RP11-54O7.3
ENSG00000168575	SLC20A2
ENSG00000020577	SAMD4A
ENSG00000141682	PMAIP1
ENSG00000158560	DYNC1I1
ENSG00000136574	GATA4
ENSG00000106236	NPTX2
ENSG00000149972	CNTN5
ENSG00000228594	FNDC10
ENSG00000015153	YAF2
ENSG00000162576	MXRA8
ENSG00000166492	FAM86GP
ENSG00000175029	CTBP2
ENSG00000168772	CXXC4
ENSG00000140157	NIPA2
ENSG00000178233	TMEM151B
ENSG00000169499	PLEKHA2
ENSG00000008083	JARID2
ENSG00000145428	RNF175
ENSG00000085840	ORC1
ENSG00000140945	CDH13
ENSG00000129636	ITFG1
ENSG00000119705	SLIRP
ENSG00000117399	CDC20
ENSG00000172159	FRMD3
ENSG00000123104	ITPR2
ENSG00000130675	MNX1
ENSG00000137154	RPS6
ENSG00000132669	RIN2
ENSG00000142188	TMEM50B
ENSG00000051382	PIK3CB
ENSG00000114166	KAT2B
ENSG00000159131	GART
ENSG00000135744	AGT
ENSG00000088682	COQ9
ENSG00000139173	TMEM117
ENSG00000143669	LYST
ENSG00000114923	SLC4A3
ENSG00000102401	ARMCX3
ENSG00000092051	JPH4
ENSG00000100122	CRYBB1
ENSG00000182134	TDRKH
ENSG00000111897	SERINC1
ENSG00000101003	GINS1
ENSG00000167654	ATCAY
ENSG00000280707	RP11-568A7.4
ENSG00000154856	APCDD1
ENSG00000173157	ADAMTS20
ENSG00000035499	DEPDC1B
ENSG00000112276	BVES
ENSG00000182963	GJC1
ENSG00000172554	SNTG2
ENSG00000198162	MAN1A2
ENSG00000164542	KIAA0895
ENSG00000163378	EOGT
ENSG00000138798	EGF
ENSG00000242732	RGAG4
ENSG00000169764	UGP2
ENSG00000182534	MXRA7
ENSG00000081189	MEF2C
ENSG00000140105	WARS
ENSG00000204219	TCEA3
ENSG00000147536	GINS4
ENSG00000149596	JPH2
ENSG00000143476	DTL
ENSG00000173641	HSPB7
ENSG00000164684	ZNF704
ENSG00000148200	NR6A1
ENSG00000164603	BMT2
ENSG00000176387	HSD11B2
ENSG00000187741	FANCA
ENSG00000172201	ID4
ENSG00000133818	RRAS2
ENSG00000187260	WDR86
ENSG00000166848	TERF2IP
ENSG00000120949	TNFRSF8
ENSG00000146374	RSPO3
ENSG00000198336	MYL4
ENSG00000105854	PON2
ENSG00000109846	CRYAB
ENSG00000118257	NRP2
ENSG00000099785	Mar-02
ENSG00000086712	TXLNG
ENSG00000181449	SOX2
ENSG00000115875	SRSF7
ENSG00000269416	LINC01224
ENSG00000143622	RIT1
ENSG00000155849	ELMO1
ENSG00000148843	PDCD11
ENSG00000144746	ARL6IP5
ENSG00000183444	OR7E38P
ENSG00000160710	ADAR
ENSG00000131373	HACL1
ENSG00000164934	DCAF13
ENSG00000249790	RP11-20D14.6
ENSG00000168243	GNG4
ENSG00000008513	ST3GAL1
ENSG00000112118	MCM3
ENSG00000165671	NSD1
ENSG00000260565	CTD-2270P14.1
ENSG00000163618	CADPS
ENSG00000075043	KCNQ2
ENSG00000259663	CTD-2314G24.2
ENSG00000230798	FOXD3-AS1
ENSG00000159461	AMFR
ENSG00000088930	XRN2
ENSG00000010310	GIPR
ENSG00000262001	DLGAP1-AS2
ENSG00000127863	TNFRSF19
ENSG00000232301	RP11-132A1.3
ENSG00000133985	TTC9
ENSG00000179023	KLHDC7A
ENSG00000151135	TMEM263
ENSG00000139800	ZIC5
ENSG00000154518	ATP5G3
ENSG00000141570	CBX8
ENSG00000143995	MEIS1
ENSG00000147883	CDKN2B
ENSG00000101144	BMP7
ENSG00000156395	SORCS3
ENSG00000082014	SMARCD3
ENSG00000125827	TMX4
ENSG00000143028	SYPL2
ENSG00000153531	ADPRHL1
ENSG00000165821	SALL2
ENSG00000197024	ZNF398
ENSG00000101220	C20orf27
ENSG00000135414	GDF11
ENSG00000179331	RAB39A
ENSG00000124743	KLHL31
ENSG00000154319	FAM167A
ENSG00000069849	ATP1B3
ENSG00000137571	SLCO5A1
ENSG00000165304	MELK
ENSG00000076382	SPAG5
ENSG00000171867	PRNP
ENSG00000174672	BRSK2
ENSG00000170962	PDGFD
ENSG00000134532	SOX5
ENSG00000165891	E2F7
ENSG00000148680	HTR7
ENSG00000097096	SYDE2
ENSG00000125821	DTD1
ENSG00000125841	NRSN2
ENSG00000131018	SYNE1
ENSG00000016082	ISL1
ENSG00000100567	PSMA3
ENSG00000102290	PCDH11X
ENSG00000177917	ARL6IP6
ENSG00000128268	MGAT3
ENSG00000116560	SFPQ
ENSG00000085999	RAD54L
ENSG00000103550	KNOP1
ENSG00000131620	ANO1
ENSG00000130176	CNN1
ENSG00000135476	ESPL1
ENSG00000175920	DOK7
ENSG00000198794	SCAMP5
ENSG00000150907	FOXO1
ENSG00000005100	DHX33
ENSG00000105255	FSD1
ENSG00000196591	HDAC2
ENSG00000168389	MFSD2A
ENSG00000062282	DGAT2
ENSG00000223572	CKMT1A
ENSG00000213626	LBH
ENSG00000104936	DMPK
ENSG00000172292	CERS6
ENSG00000057657	PRDM1
ENSG00000253368	TRNP1
ENSG00000069482	GAL
ENSG00000130775	THEMIS2
ENSG00000100410	PHF5A
ENSG00000112769	LAMA4
ENSG00000189212	DPY19L2P1
ENSG00000274090	RP11-415G4.1
ENSG00000165061	ZMAT4
ENSG00000167513	CDT1
ENSG00000121743	GJA3
ENSG00000122691	TWIST1
ENSG00000124701	APOBEC2
ENSG00000042980	ADAM28
ENSG00000102755	FLT1
ENSG00000043355	ZIC2
ENSG00000118946	PCDH17
ENSG00000132938	MTUS2
ENSG00000169857	AVEN
ENSG00000157399	ARSE
ENSG00000111913	FAM65B
ENSG00000048052	HDAC9
ENSG00000119673	ACOT2
ENSG00000069188	SDK2
ENSG00000196756	SNHG17
ENSG00000140931	CMTM3
ENSG00000124610	HIST1H1A
ENSG00000156966	B3GNT7
ENSG00000166411	IDH3A
ENSG00000108946	PRKAR1A
ENSG00000132561	MATN2
ENSG00000163931	TKT
ENSG00000101850	GPR143
ENSG00000253304	TMEM200B
ENSG00000197299	BLM
ENSG00000119203	CPSF3
ENSG00000123560	PLP1
ENSG00000107485	GATA3
ENSG00000120053	GOT1
ENSG00000198960	ARMCX6
ENSG00000278540	ACACA
ENSG00000163659	TIPARP
ENSG00000121281	ADCY7
ENSG00000115461	IGFBP5
ENSG00000183691	NOG
ENSG00000197448	GSTK1
ENSG00000162069	BICDL2
ENSG00000163541	SUCLG1
ENSG00000177084	POLE
ENSG00000130713	EXOSC2
ENSG00000134243	SORT1
ENSG00000163531	NFASC
ENSG00000140795	MYLK3
ENSG00000137449	CPEB2
ENSG00000198805	PNP
ENSG00000139990	DCAF5
ENSG00000070814	TCOF1
ENSG00000144395	CCDC150
ENSG00000151320	AKAP6
ENSG00000181896	ZNF101
ENSG00000085449	WDFY1
ENSG00000101911	PRPS2
ENSG00000153071	DAB2
ENSG00000233393	AP000688.29
ENSG00000163629	PTPN13
ENSG00000232480	TGFB2-AS1
ENSG00000118804	STBD1
ENSG00000204516	MICB
ENSG00000206052	DOK6
ENSG00000131174	COX7B
ENSG00000151725	CENPU
ENSG00000188176	SMTNL2
ENSG00000085871	MGST2
ENSG00000110422	HIPK3
ENSG00000164440	TXLNB
ENSG00000170961	HAS2
ENSG00000089472	HEPH
ENSG00000126218	F10
ENSG00000151465	CDC123
ENSG00000138031	ADCY3
ENSG00000112183	RBM24
ENSG00000173991	TCAP
ENSG00000253230	LINC00599
ENSG00000006459	KDM7A
ENSG00000101361	NOP56
ENSG00000159593	NAE1
ENSG00000169918	OTUD7A
ENSG00000108861	DUSP3
ENSG00000121210	KIAA0922
ENSG00000188026	RILPL1
ENSG00000122966	CIT
ENSG00000145642	FAM159B
ENSG00000182240	BACE2
ENSG00000068078	FGFR3
ENSG00000100479	POLE2
ENSG00000145687	SSBP2
ENSG00000186047	DLEU7
ENSG00000106327	TFR2
ENSG00000177614	PGBD5
ENSG00000108651	UTP6
ENSG00000067646	ZFY
ENSG00000183765	CHEK2
ENSG00000204682	CASC10
ENSG00000212747	FAM127C
ENSG00000176208	ATAD5
ENSG00000165102	HGSNAT
ENSG00000165349	SLC7A3
ENSG00000166311	SMPD1
ENSG00000149294	NCAM1
ENSG00000196730	DAPK1
ENSG00000175832	ETV4
ENSG00000108578	BLMH
ENSG00000147041	SYTL5
ENSG00000139835	GRTP1
ENSG00000182901	RGS7
ENSG00000175352	NRIP3
ENSG00000145743	FBXL17
ENSG00000169071	ROR2
ENSG00000175175	PPM1E
ENSG00000138829	FBN2
ENSG00000104953	TLE6
ENSG00000166508	MCM7
ENSG00000159200	RCAN1
ENSG00000101452	DHX35
ENSG00000269713	NBPF9
ENSG00000164619	BMPER
ENSG00000213023	SYT3
ENSG00000184983	NDUFA6
ENSG00000130768	SMPDL3B
ENSG00000041357	PSMA4
ENSG00000237923	XXbac-BPG27H4.8
ENSG00000249087	ZNF436-AS1
ENSG00000125968	ID1
ENSG00000272886	DCP1A
ENSG00000178537	SLC25A20
ENSG00000165240	ATP7A
ENSG00000174282	ZBTB4
ENSG00000169242	EFNA1
ENSG00000205358	MT1H
ENSG00000165480	SKA3
ENSG00000188153	COL4A5
ENSG00000272325	NUDT3
ENSG00000042493	CAPG
ENSG00000064300	NGFR
ENSG00000188883	KLRG2
ENSG00000162377	COA7
ENSG00000158825	CDA
ENSG00000008118	CAMK1G
ENSG00000128654	MTX2
ENSG00000143171	RXRG
ENSG00000107821	KAZALD1
ENSG00000179833	SERTAD2
ENSG00000185339	TCN2
ENSG00000121057	AKAP1
ENSG00000166851	PLK1
ENSG00000055044	NOP58
ENSG00000104812	GYS1
ENSG00000105486	LIG1
ENSG00000173085	COQ2
ENSG00000004766	VPS50
ENSG00000119699	TGFB3
ENSG00000154864	PIEZO2
ENSG00000186185	KIF18B
ENSG00000160145	KALRN
ENSG00000187134	AKR1C1
ENSG00000174574	AKIRIN1
ENSG00000140511	HAPLN3
ENSG00000004864	SLC25A13
ENSG00000145349	CAMK2D
ENSG00000009413	REV3L
ENSG00000145358	DDIT4L
ENSG00000173258	ZNF483
ENSG00000125356	NDUFA1
ENSG00000068323	TFE3
ENSG00000108379	WNT3
ENSG00000235162	C12orf75
ENSG00000178567	EPM2AIP1
ENSG00000134809	TIMM10
ENSG00000164741	DLC1
ENSG00000153820	SPHKAP
ENSG00000126267	COX6B1
ENSG00000182580	EPHB3
ENSG00000050165	DKK3
ENSG00000157193	LRP8
ENSG00000079819	EPB41L2
ENSG00000131914	LIN28A
ENSG00000116106	EPHA4
ENSG00000115232	ITGA4
ENSG00000178568	ERBB4
ENSG00000017483	SLC38A5
ENSG00000135624	CCT7
ENSG00000073578	SDHA
ENSG00000121671	CRY2
ENSG00000168003	SLC3A2
ENSG00000125170	DOK4
ENSG00000131375	CAPN7
ENSG00000179899	PHC1P1
ENSG00000197724	PHF2
ENSG00000159251	ACTC1
ENSG00000143499	SMYD2
ENSG00000112137	PHACTR1
ENSG00000184347	SLIT3
ENSG00000006625	GGCT
ENSG00000145907	G3BP1
ENSG00000134873	CLDN10
ENSG00000154415	PPP1R3A
ENSG00000108582	CPD
ENSG00000165175	MID1IP1
ENSG00000171456	ASXL1
ENSG00000184809	B3GALT5-AS1
ENSG00000172782	FADS6
ENSG00000060982	BCAT1
ENSG00000113196	HAND1
ENSG00000180875	GREM2
ENSG00000159267	HLCS
ENSG00000197847	SLC22A20
ENSG00000198842	DUSP27
ENSG00000078295	ADCY2
ENSG00000054392	HHAT
ENSG00000198468	FLVCR1-AS1
ENSG00000178385	PLEKHM3
ENSG00000184584	TMEM173
ENSG00000150753	CCT5
ENSG00000134684	YARS
ENSG00000100600	LGMN
ENSG00000132781	MUTYH
ENSG00000077312	SNRPA
ENSG00000168916	ZNF608
ENSG00000159055	MIS18A
ENSG00000092054	MYH7
ENSG00000074964	ARHGEF10L
ENSG00000177508	IRX3
ENSG00000115414	FN1
ENSG00000023228	NDUFS1
ENSG00000186777	ZNF732
ENSG00000173614	NMNAT1
ENSG00000156574	NODAL
ENSG00000133392	MYH11
ENSG00000065911	MTHFD2
ENSG00000197444	OGDHL
ENSG00000128294	TPST2
ENSG00000271601	LIX1L
ENSG00000265763	ZNF488
ENSG00000048545	GUCA1A
ENSG00000164985	PSIP1
ENSG00000140694	PARN
ENSG00000148516	ZEB1
ENSG00000159259	CHAF1B
ENSG00000122477	LRRC39
ENSG00000168765	GSTM4
ENSG00000119421	NDUFA8
ENSG00000171345	KRT19
ENSG00000106524	ANKMY2
ENSG00000183098	GPC6
ENSG00000159784	FAM131B
ENSG00000013441	CLK1
ENSG00000065320	NTN1
ENSG00000141569	TRIM65
ENSG00000146386	ABRACL
ENSG00000187210	GCNT1
ENSG00000182054	IDH2
ENSG00000124098	FAM210B
ENSG00000185565	LSAMP
ENSG00000124920	MYRF
ENSG00000248222	CTB-174D11.1
ENSG00000116830	TTF2
ENSG00000114405	C3orf14
ENSG00000065717	TLE2
ENSG00000135956	TMEM127
ENSG00000265491	RNF115
ENSG00000183696	UPP1
ENSG00000152217	SETBP1
ENSG00000031081	ARHGAP31
ENSG00000105131	EPHX3
ENSG00000221866	PLXNA4
ENSG00000104763	ASAH1
ENSG00000066926	FECH
ENSG00000144579	CTDSP1
ENSG00000111602	TIMELESS
ENSG00000280623	PCAT14
ENSG00000128708	HAT1
ENSG00000119630	PGF
ENSG00000158435	CNOT11
ENSG00000170412	GPRC5C
ENSG00000198812	LRRC10
ENSG00000196418	ZNF124
ENSG00000162745	OLFML2B
ENSG00000180287	PLD5
ENSG00000043143	JADE2
ENSG00000182118	FAM89A
ENSG00000103356	EARS2
ENSG00000117586	TNFSF4
ENSG00000066117	SMARCD1
ENSG00000163719	MTMR14
ENSG00000205978	NYNRIN
ENSG00000215447	BX322557.10
ENSG00000070756	PABPC1
ENSG00000183778	B3GALT5
ENSG00000145632	PLK2
ENSG00000255471	RP11-736K20.5
ENSG00000169508	GPR183
ENSG00000178982	EIF3K
ENSG00000066468	FGFR2
ENSG00000104325	DECR1
ENSG00000135205	CCDC146
ENSG00000124225	PMEPA1
ENSG00000107796	ACTA2
ENSG00000113407	TARS
ENSG00000116852	KIF21B
ENSG00000147573	TRIM55
ENSG00000250366	TUNAR
ENSG00000064419	TNPO3
ENSG00000002746	HECW1
ENSG00000115353	TACR1
ENSG00000174547	MRPL11
ENSG00000161980	POLR3K
ENSG00000051180	RAD51
ENSG00000187391	MAGI2
ENSG00000248605	CTD-2306M5.1
ENSG00000166426	CRABP1
ENSG00000149150	SLC43A1
ENSG00000229150	CRYGEP
ENSG00000129219	PLD2
ENSG00000188505	NCCRP1
ENSG00000196510	ANAPC7
ENSG00000094804	CDC6
ENSG00000133639	BTG1
ENSG00000139597	N4BP2L1
ENSG00000175348	TMEM9B
ENSG00000124942	AHNAK
ENSG00000120832	MTERF2
ENSG00000108950	FAM20A
ENSG00000001626	CFTR
ENSG00000170006	TMEM154
ENSG00000116898	MRPS15
ENSG00000100297	MCM5
ENSG00000003436	TFPI
ENSG00000172269	DPAGT1
ENSG00000140873	ADAMTS18
ENSG00000135677	GNS
ENSG00000153044	CENPH
ENSG00000164919	COX6C
ENSG00000115977	AAK1
ENSG00000164318	EGFLAM
ENSG00000108561	C1QBP
ENSG00000138778	CENPE
ENSG00000204252	HLA-DOA
ENSG00000180053	NKX2-6
ENSG00000102043	MTMR8
ENSG00000169744	LDB2
ENSG00000136631	VPS45
ENSG00000155096	AZIN1
ENSG00000213988	ZNF90
ENSG00000129946	SHC2
ENSG00000152137	HSPB8
ENSG00000140534	TICRR
ENSG00000196584	XRCC2
ENSG00000197603	C5orf42
ENSG00000137168	PPIL1
ENSG00000124126	PREX1
ENSG00000105767	CADM4
ENSG00000083067	TRPM3
ENSG00000113441	LNPEP
ENSG00000167291	TBC1D16
ENSG00000283654	RP11-244E17.1
ENSG00000075945	KIFAP3
ENSG00000157483	MYO1E
ENSG00000163900	TMEM41A
ENSG00000102547	CAB39L
ENSG00000142453	CARM1
ENSG00000143318	CASQ1
ENSG00000170579	DLGAP1
ENSG00000136014	USP44
ENSG00000164107	HAND2
ENSG00000101337	TM9SF4
ENSG00000118922	KLF12
ENSG00000156299	TIAM1
ENSG00000163492	CCDC141
ENSG00000102316	MAGED2
ENSG00000274605	RP11-12G12.7
ENSG00000139971	C14orf37
ENSG00000113013	HSPA9
ENSG00000171877	FRMD5
ENSG00000283638	MIR19B2
ENSG00000058668	ATP2B4
ENSG00000167863	ATP5H
ENSG00000106785	TRIM14
ENSG00000164284	GRPEL2
ENSG00000099954	CECR2
ENSG00000138413	IDH1
ENSG00000115738	ID2
ENSG00000135093	USP30
ENSG00000165138	ANKS6
ENSG00000072682	P4HA2
ENSG00000226792	LINC00371
ENSG00000110076	NRXN2
ENSG00000142230	SAE1
ENSG00000104723	TUSC3
ENSG00000144857	BOC
ENSG00000184672	RALYL
ENSG00000122012	SV2C
ENSG00000141052	MYOCD
ENSG00000134222	PSRC1
ENSG00000197616	MYH6
ENSG00000169418	NPR1
ENSG00000151498	ACAD8
ENSG00000196247	ZNF107
ENSG00000135924	DNAJB2
ENSG00000134247	PTGFRN
ENSG00000065328	MCM10
ENSG00000165995	CACNB2
ENSG00000135940	COX5B
ENSG00000013810	TACC3
ENSG00000184557	SOCS3
ENSG00000155846	PPARGC1B
ENSG00000053254	FOXN3
ENSG00000186628	FSD2
ENSG00000167670	CHAF1A
ENSG00000163975	MELTF
ENSG00000155508	CNOT8
ENSG00000164087	POC1A
ENSG00000170185	USP38
ENSG00000126778	SIX1
ENSG00000011260	UTP18
ENSG00000132205	EMILIN2
ENSG00000198663	C6orf89
ENSG00000172380	GNG12
ENSG00000141506	PIK3R5
ENSG00000111885	MAN1A1
ENSG00000159176	CSRP1
ENSG00000185670	ZBTB3
ENSG00000267280	TBX2-AS1
ENSG00000054148	PHPT1
ENSG00000034713	GABARAPL2
ENSG00000224078	SNHG14
ENSG00000154723	ATP5J
ENSG00000176842	IRX5
ENSG00000162643	WDR63
ENSG00000049089	COL9A2
ENSG00000180901	KCTD2
ENSG00000174177	CTU2
ENSG00000091482	SMPX
ENSG00000109854	HTATIP2
ENSG00000125868	DSTN
ENSG00000119969	HELLS
ENSG00000159023	EPB41
ENSG00000101115	SALL4
ENSG00000148814	LRRC27
ENSG00000132646	PCNA
ENSG00000198718	FAM179B
ENSG00000074410	CA12
ENSG00000185650	ZFP36L1
ENSG00000137478	FCHSD2
ENSG00000174021	GNG5
ENSG00000146250	PRSS35
ENSG00000102890	ELMO3
ENSG00000110148	CCKBR
ENSG00000027001	MIPEP
ENSG00000125877	ITPA
